MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_amygdalohippocampal_area_L.off	106	106	11236	0.022871	491.277	1	1590
Allen_amygdalohippocampal_area_L.off	Allen_amygdalohippocampal_area_R.off	106	106	11236	0.022404	501.518	0	0
Allen_amygdalohippocampal_area_L.off	Allen_amygdaloid_complex_L.off	106	720	76320	0.038885	1962.71	0	0
Allen_amygdalohippocampal_area_L.off	Allen_amygdaloid_complex_R.off	106	720	76320	0.040029	1906.62	0	0
Allen_amygdalohippocampal_area_L.off	Allen_angular_gyrus_L.off	106	6246	662076	0.19196	3449.03	0	0
Allen_amygdalohippocampal_area_L.off	Allen_angular_gyrus_R.off	106	6246	662076	0.190418	3476.96	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_amygdaloid_area_L.off	106	166	17596	0.05986	293.953	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_amygdaloid_area_R.off	106	166	17596	0.023979	733.809	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_commissure_L.off	106	274	29044	0.035824	810.741	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_commissure_R.off	106	274	29044	0.025976	1118.11	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_cortical_nucleus_L.off	106	180	19080	0.027072	704.787	1	179
Allen_amygdalohippocampal_area_L.off	Allen_anterior_cortical_nucleus_R.off	106	180	19080	0.025606	745.138	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_horn_of_lateral_ventricle_L.off	106	2708	287048	0.109617	2618.64	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_horn_of_lateral_ventricle_R.off	106	2708	287048	0.095637	3001.43	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_intermediate_orbital_gyrus_L.off	106	1162	123172	0.051003	2415	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_intermediate_orbital_gyrus_R.off	106	1162	123172	0.057725	2133.77	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_nuclear_complex_of_thalamus_L.off	106	244	25864	0.026372	980.737	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_nuclear_complex_of_thalamus_R.off	106	244	25864	0.026301	983.385	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_olfactory_nucleus_L.off	106	14	1484	0.022477	66.023	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_olfactory_nucleus_R.off	106	14	1484	0.021054	70.4854	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_parahippocampal_gyrus_L.off	106	1342	142252	0.059892	2375.14	0	0
Allen_amygdalohippocampal_area_L.off	Allen_anterior_parahippocampal_gyrus_R.off	106	1342	142252	0.060572	2348.48	0	0
Allen_amygdalohippocampal_area_L.off	Allen_atrium_of_lateral_ventricle_L.off	106	622	65932	0.035722	1845.7	0	0
Allen_amygdalohippocampal_area_L.off	Allen_atrium_of_lateral_ventricle_R.off	106	622	65932	0.037864	1741.28	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basal_forebrain_L.off	106	868	92008	0.042537	2163.01	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basal_forebrain_R.off	106	868	92008	0.041361	2224.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basilar_part_of_pons_L.off	106	940	99640	0.045538	2188.06	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basilar_part_of_pons_R.off	106	940	99640	0.048888	2038.13	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basolateral_nucleus_basal_nucleus_L.off	106	424	44944	0.038115	1179.17	1	202
Allen_amygdalohippocampal_area_L.off	Allen_basolateral_nucleus_basal_nucleus_R.off	106	424	44944	0.03787	1186.8	0	0
Allen_amygdalohippocampal_area_L.off	Allen_basomedial_nucleus_accessory_basal_nucleus_L.off	106	150	15900	0.023946	663.994	1	153
Allen_amygdalohippocampal_area_L.off	Allen_basomedial_nucleus_accessory_basal_nucleus_R.off	106	150	15900	0.02357	674.586	0	0
Allen_amygdalohippocampal_area_L.off	Allen_bed_nucleus_of_stria_terminalis_L.off	106	584	61904	0.036545	1693.91	0	0
Allen_amygdalohippocampal_area_L.off	Allen_bed_nucleus_of_stria_terminalis_R.off	106	584	61904	0.036224	1708.92	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_caudate_L.off	106	1708	181048	0.077098	2348.28	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_caudate_R.off	106	1708	181048	0.069059	2621.64	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_hippocampus_L.off	106	430	45580	0.030975	1471.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_hippocampus_R.off	106	430	45580	0.032378	1407.75	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_lateral_ventricle_L.off	106	1544	163664	0.061582	2657.66	0	0
Allen_amygdalohippocampal_area_L.off	Allen_body_of_lateral_ventricle_R.off	106	1544	163664	0.066435	2463.52	0	0
Allen_amygdalohippocampal_area_L.off	Allen_central_canal_of_medulla_oblongata_L.off	106	12	1272	0.024471	51.9799	0	0
Allen_amygdalohippocampal_area_L.off	Allen_central_canal_of_medulla_oblongata_R.off	106	12	1272	0.020348	62.5123	0	0
Allen_amygdalohippocampal_area_L.off	Allen_central_nuclear_group_L.off	106	92	9752	0.022461	434.175	0	0
Allen_amygdalohippocampal_area_L.off	Allen_central_nuclear_group_R.off	106	92	9752	0.021376	456.213	0	0
Allen_amygdalohippocampal_area_L.off	Allen_centromedian_nucleus_of_thalamus_L.off	106	246	26076	0.027423	950.881	0	0
Allen_amygdalohippocampal_area_L.off	Allen_centromedian_nucleus_of_thalamus_R.off	106	246	26076	0.048627	536.245	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebellar_deep_nuclei_L.off	106	654	69324	0.03785	1831.55	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebellar_deep_nuclei_R.off	106	654	69324	0.048665	1424.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebellar_vermis_L.off	106	4740	502440	0.22082	2275.34	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebellar_vermis_R.off	106	4740	502440	0.151289	3321.06	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_aqueduct_L.off	106	76	8056	0.022215	362.638	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_aqueduct_R.off	106	76	8056	0.046014	175.077	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_peduncle_crus_cerebri_L.off	106	462	48972	0.03958	1237.29	1	17
Allen_amygdalohippocampal_area_L.off	Allen_cerebral_peduncle_crus_cerebri_R.off	106	462	48972	0.039051	1254.05	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_caudal_posterior_part_L.off	106	4386	464916	0.155933	2981.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_caudal_posterior_part_R.off	106	4386	464916	0.141675	3281.57	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_rostral_anterior_part_L.off	106	3508	371848	0.115403	3222.17	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cingulate_gyrus_rostral_anterior_part_R.off	106	3508	371848	0.125631	2959.84	0	0
Allen_amygdalohippocampal_area_L.off	Allen_claustrum_L.off	106	3350	355100	0.109749	3235.56	0	0
Allen_amygdalohippocampal_area_L.off	Allen_claustrum_R.off	106	3352	355312	0.120474	2949.28	0	0
Allen_amygdalohippocampal_area_L.off	Allen_corpus_callosum_L.off	106	6034	639604	0.209679	3050.4	0	0
Allen_amygdalohippocampal_area_L.off	Allen_corpus_callosum_R.off	106	6034	639604	0.187719	3407.24	0	0
Allen_amygdalohippocampal_area_L.off	Allen_cuneus_L.off	106	6032	639392	0.191373	3341.08	0	0
